"","sample_id","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","ephys_session_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","major_type","contam_type","quality_score","Microglia","cluster_label"
"PS0810_E1-50_S88","PS0810_E1-50_S88","mIVSCC-MET",601506507,"Vip-IRES-Cre;Ai14-331294.04.01.01","left","VISpm4",331294,"Vip-IRES-Cre;Ai14-331294","M","P55","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.361014513523001,601506492,"BT035","CS180626100018","Vip Gpc3","GABAergic","Vip_on",0.398964010177593,0.0122673821477334,"Vip"
"PS0817_E1-50_S19","PS0817_E1-50_S19","mIVSCC-MET",601790961,"Sst-IRES-Cre;Ai14-331663.04.01.01","left","VISpm5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.621829351967728,601790945,"BT036","CS180626100041","Sst Tac2","GABAergic","Sst_on",0.205851120033596,0.166599246055651,"Sst"
"PS0817_E1-50_S25","PS0817_E1-50_S25","mIVSCC-MET",601803754,"Sst-IRES-Cre;Ai14-331663.04.02.02","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","sparsely spiny",NA,"full",0.164239963248684,601803733,"BT036","CS180626100035","Sst Calb2","GABAergic","Sst_on",0.157360165430053,0.564634081199724,"Sst"
"PS0817_E1-50_S26","PS0817_E1-50_S26","mIVSCC-MET",601808698,"Sst-IRES-Cre;Ai14-331663.04.02.03","right","VISp5",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.483030289156805,601808619,"BT036","CS180626100043","Sst Hpse","GABAergic","Sst_on",0.142024926348268,0.835032956524888,"Sst"
"PS0817_E1-50_S27","PS0817_E1-50_S27","mIVSCC-MET",601810307,"Sst-IRES-Cre;Ai14-331663.04.02.04","right","VISp2/3",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.295656295036952,601810292,"BT036","CS180626100034","Sst Calb2","GABAergic","Sst_on",0.378525344067701,0.0144936835522822,"Sst"
"PS0817_E1-50_S28","PS0817_E1-50_S28","mIVSCC-MET",601811091,"Sst-IRES-Cre;Ai14-331663.03.01.01","left","VISp6a",331663,"Sst-IRES-Cre;Ai14-331663","F","P57","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.766594576134962,601811076,"BT036","CS180626100046","Sst Esm1","GABAergic","Sst_on",0.422364639335219,0.0275623180531616,"Sst"
"PS0817_E1-50_S46","PS0817_E1-50_S46","mIVSCC-MET",602231708,"Sst-IRES-Cre;Ai14-331660.06.02.01","right","VISp5",331660,"Sst-IRES-Cre;Ai14-331660","M","P59","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.589005050716384,602231628,"BT036","CS180626100035","Sst Calb2","GABAergic","Sst_on",0.390526770047973,0.00276268023258275,"Sst"
"PS0817_E1-50_S52","PS0817_E1-50_S52","mIVSCC-MET",602535278,"Sst-IRES-Cre;Ai14-331657.04.02.01","right","VISp2/3",331657,"Sst-IRES-Cre;Ai14-331657","M","P60","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.397545508012723,602535253,"BT036","CS180626100035","Sst Calb2","GABAergic","Sst_on",0.397502939535879,0.0199844231166442,"Sst"
"PS0830_E1-50_S17","PS0830_E1-50_S17","mIVSCC-MET",604626221,"Vip-IRES-Cre;Ai14-336703.04.02.01","right","VISp4",336703,"Vip-IRES-Cre;Ai14-336703","M","P51","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.459114590371144,604626206,"BT038","CS180626100018","Vip Gpc3","GABAergic","Vip_on",0.357974651719314,0.010517491440494,"Vip"
"PS0830_E1-50_S19","PS0830_E1-50_S19","mIVSCC-MET",604646725,"Vip-IRES-Cre;Ai14-336703.04.02.03","right","VISp2/3",336703,"Vip-IRES-Cre;Ai14-336703","M","P51","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.304442899765556,604646572,"BT038","CS180626100026","Vip Pygm","GABAergic","Vip_on",0.377757337033314,0.0599624695962714,"Vip"
"PS0830_E1-50_S24","PS0830_E1-50_S24","mIVSCC-MET",605060256,"Vip-IRES-Cre;Ai14-336139.04.01.04","left","VISal4",336139,"Vip-IRES-Cre;Ai14-336139","M","P54","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.416261742802756,605059999,"BT038","CS180626100020","Vip Lmo1","GABAergic","Vip_on",0.267834206818179,0.315985767284018,"Vip"
"PS0830_E1-50_S26","PS0830_E1-50_S26","mIVSCC-MET",605160536,"Vip-IRES-Cre;Ai14-336139.05.02.02","right","VISp2/3",336139,"Vip-IRES-Cre;Ai14-336139","M","P54","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.22214742213529,605160446,"BT038","CS180626100028","Vip Crispld2","GABAergic","Vip_on",0.398042689791342,0.0886205972322352,"Vip"
"PS0830_E1-50_S70","PS0830_E1-50_S70","mIVSCC-MET",606098116,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417.04.02.02","right","VISp2/3",337417,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337417","M","P55","Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.281891345108085,606098055,"BT038","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.410191921317046,0.159994892709863,"Pvalb"
"PS0830_E1-50_S83","PS0830_E1-50_S83","mIVSCC-MET",606271263,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.01","left","VISp2/3",337416,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416","M","P56","Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.179449890059475,606271245,"BT038","CS180626100060","Pvalb Vipr2","GABAergic","Pvalb_on",0.365784888286176,0.302317066554247,"Pvalb"
"PS0830_E1-50_S85","PS0830_E1-50_S85","mIVSCC-MET",606308411,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416.05.01.03","left","VISam2/3",337416,"Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337416","M","P56","Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"full",0.171680016575818,606308251,"BT038","CS180626100060","Pvalb Vipr2","GABAergic","Pvalb_on",0.226057318374448,0.405996799816988,"Pvalb"
"PS0921_E1-50_S06","PS0921_E1-50_S06","mIVSCC-MET",611497391,"Vip-IRES-Cre;Ai14-342915.04.02.01","right","VISp2/3",342915,"Vip-IRES-Cre;Ai14-342915","M","P47","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.225690512105545,611497338,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.351171429349337,0.00751482052873093,"Vip"
"PS0921_E1-50_S12","PS0921_E1-50_S12","mIVSCC-MET",612271508,"Chat-IRES-Cre-neo;Ai14-341889.05.02.02","right","VISp2/3",341889,"Chat-IRES-Cre-neo;Ai14-341889","F","P54","Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.255892218078165,612271479,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.152038326066881,0.851162933027485,"Vip"
"PS0921_E1-50_S26","PS0921_E1-50_S26","mIVSCC-MET",612893105,"Chat-IRES-Cre-neo;Ai14-341890.04.02.02","right","VISp2/3",341890,"Chat-IRES-Cre-neo;Ai14-341890","F","P55","Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.143796377209451,612893090,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.316991826865647,0.5155239048192,"Vip"
"PS0921_E1-50_S33","PS0921_E1-50_S33","mIVSCC-MET",613432876,"Chat-IRES-Cre-neo;Ai14-341891.04.02.01","right","VISp2/3",341891,"Chat-IRES-Cre-neo;Ai14-341891","F","P56","Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",0.171291174746034,613432846,"BT040","CS180626100022","Vip Rspo4","GABAergic","Vip_on",0.405132741679921,0.0126859727123793,"Vip"
"PS0921_E1-50_S34","PS0921_E1-50_S34","mIVSCC-MET",614728680,"Pvalb-IRES-Cre;Ai14-344090.04.01.01","left","VISp5",344090,"Pvalb-IRES-Cre;Ai14-344090","F","P51","Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.604392273663461,614728579,"BT040","CS180626100058","Pvalb Reln","GABAergic","Pvalb_on",0.415580101383413,0.00787010166394814,"Pvalb"
"SM-GBMFY_S079_E1-50","SM-GBMFY_S079_E1-50","mIVSCC-MET",882454517,"Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-467263-Ai65.04.02.02","right","VISp1",467263,"Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-467263-Ai65","F","P55","Penk-IRES2-Cre-neo/wt;Slc17a6-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","spiny","notchecked","",NA,882454410,"RSC-215",""," NA","Glutamatergic","L2.3.IT_on",0.521875440772415,0.12528760996177,NA
"SM-GBMG3_S011_E1-50","SM-GBMG3_S011_E1-50","mIVSCC-MET",871825900,"Nkx2-1-CreERT2;Ai14-465341.04.01.01","left","VISpm2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871825551,"RSC-214","CS180626100059","Pvalb Tpbg","GABAergic","Pvalb_on",0.382339941245858,0.00768604131954665,"Pvalb"
"SM-GBMG3_S012_E1-50","SM-GBMG3_S012_E1-50","mIVSCC-MET",872555611,"Nkx2-1-CreERT2;Ai14-465341.04.01.03","left","VISp2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,872555585,"RSC-214","CS180626100060","Pvalb Vipr2","GABAergic","Pvalb_on",0.377081175288221,0.246362734015558,"Pvalb"
"SM-GBMG3_S013_E1-50","SM-GBMG3_S013_E1-50","mIVSCC-MET",871888742,"Nkx2-1-CreERT2;Ai14-465341.05.02.01","right","VISp2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871888161,"RSC-214","CS180626100033","Sst Tac1","GABAergic","Pvalb_on",0.49330932982065,0.068159945790946,"Sst"
"SM-GBMG3_S014_E1-50","SM-GBMG3_S014_E1-50","mIVSCC-MET",871988245,"Nkx2-1-CreERT2;Ai14-465341.05.02.03","right","VISpm4",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,871987881,"RSC-214","CS180626100033","Sst Tac1","GABAergic","Sst_on",0.323987216247582,0.528280531682467,"Sst"
"SM-GBMG3_S015_E1-50","SM-GBMG3_S015_E1-50","mIVSCC-MET",872248529,"Nkx2-1-CreERT2;Ai14-465341.02.02.01","right","VISli2/3",465341,"Nkx2-1-CreERT2;Ai14-465341","F","P46","Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.189368626997173,872248312,"RSC-214","CS180626100032","Sst Tac1","GABAergic","Sst_on",0.337052048960266,0.325405992961115,"Sst"
