"","Number","Cell","Slice","Date","Sample","blah","cell_num","donor_id","Mouse date of birth","age","biological_sex","genotype","Targeted layer","Inferred layer","Cre","Exon reads","Intron reads","Intergenic reads","Sequencing batch","Number of genes detected","RNA family","RNA type","RNA type confidence","RNA type top-3","ALM/VISp top-3","top_cluster_string","top_alm_visp_cluster","subclass","corresponding_AIT2.3.1_alias","layer","type","region","cluster_score_string","cluster_score_string_number","rest","top_alm_visp_subclass","Length (bp)","Yield (pg/µl)","User","hold_time","Soma depth (µm)","Soma depth (4x)","Cortical thickness (4x)","Cortical thickness (µm)","Traced","Exclusion reasons","X1","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass","top_cluster_score","depth_from_pia_um","cell_count_per_donor","norm_cell_num","class","second","cluster_label","median_cluster_label_Microglia"
"1",1,"20171204_sample_2","20171204_slice_2",2017-12-04,"sample 2","sample",2,"mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",10315633,1060515,947943,1,15953,"ET","L5 ET_1",0.88,"L5 ET_1 (88.3%), L5 ET_2 (3.1%), L6 CT Pou3f2 (2.4%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1","L5 PT","L5 PT ALM","L5","PT","ALM","99.0%)","99.0","","L5",1955,95.19,"Fede",8,"736.7",271,535.8,1478.808,"y",NA,1,"Glutamatergic","L5.PT_on",148.340840708964,0.684279448436252,NA,0.435530945978967,-Inf,0.102230715772678,NA,0.224145662263766,0.0685761163007027,0.063023775523463,NA,NA,0.0598779425626659,TRUE,99,736.7,4,1,"Glutamatergic",NA,"L5 PT",0.13675354978931
"2",2,"20171204_sample_4","20171204_slice_4",2017-12-04,"sample 4","sample",4,"mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",5272324,2706142,1216945,1,17906,"IT","L5 IT_2",0.52,"L5 IT_2 (51.9%), L5 IT_4 (9.1%), L6 CT Pou3f2 (8.3%)","L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)","L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)","L6 IT VISp Penk Fst","L6 IT","L6 IT VISp","L6","IT","VISp","34.0%), L5 IT VISp Col27a1","34.0",", L5 IT VISp Col27a1","L6",1887,80.22,"Fede",9,"726.2",285.7,545.9,1506.684,"y",NA,2,"Glutamatergic","L5.IT_on",166.404147578485,0.767603431248648,NA,0.527958825930557,-Inf,0.202981711318251,NA,0.232915109423875,0.0645922471632736,0.219160282534142,NA,NA,0.0898161711408883,TRUE,34,726.2,4,2,"Glutamatergic",NA,"L6 IT",0.0641830231798996
"3",3,"20171204_sample_5","20171204_slice_5",2017-12-04,"sample 5","sample",5,"mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",18172944,5610782,1541985,1,20974,"IT","L5 IT_1",0.97,"L5 IT_1 (97.0%)","L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)","L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)","L5 IT ALM Cpa6 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","55.0%), L5 IT ALM Gkn1 Pcdh19","55.0",", L5 IT ALM Gkn1 Pcdh19","L5",1869,439.16,"Fede",8,"659.8",241.8,530.4,1463.904,"y",NA,3,"Glutamatergic","L5.IT_on",238.263351371358,1.09908177599477,NA,0.560106664049737,Inf,0.128621912099708,NA,0.18856143800952,0.0706932840408667,0.133819571465969,NA,NA,0.0653433540438676,TRUE,55,659.8,4,3,"Glutamatergic",NA,"L5 IT",0.134980114455821
"4",4,"20171204_sample_6","20171204_slice_6",2017-12-04,"sample 6","sample",6,"mouse_GTOKH",2017-10-29,36,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",6226321,6139027,1366216,1,18091,"ET","L5 ET_4",0.94,"L5 ET_4 (94.0%), L5 ET_2 (5.3%)","L5 PT ALM Npsr1 (99.0%)","L5 PT ALM Npsr1 (99.0%)","L5 PT ALM Npsr1","L5 PT","L5 PT ALM","L5","PT","ALM","99.0%)","99.0","","L5",1999,211.71,"Fede",8,"571.7",210,501.1,1383.036,"y",NA,4,"Glutamatergic","L5.PT_on",162.462875904199,0.749422792696728,NA,0.515809143609141,-Inf,0.136038424775837,NA,0.171840041858141,0.0590931161573026,0.0900460870949406,NA,NA,0.0662440406415063,TRUE,99,571.7,4,4,"Glutamatergic",NA,"L5 PT",0.13675354978931
"5",5,"20171207_sample_1","20171207_slice_1",2017-12-07,"sample 1","sample",1,"mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",3786954,5386523,1499012,1,23100,"ET","L5 ET_1",0.91,"L5 ET_1 (90.7%), L5 ET_4 (5.7%)","L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)","L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)","L5 PT VISp Krt80","L5 PT","L5 PT VISp","L5","PT","VISp","51.0%), L5 PT ALM Slco2a1","51.0",", L5 PT ALM Slco2a1","L5",1884,986.46,"Fede",10,"772.4",288.9,477.1,1316.796,"y",NA,5,"Glutamatergic","L5.PT_on",177.221166633291,0.817501111463832,NA,0.447587707665666,-Inf,0.238021068878466,NA,0.47825199145087,0.314488688946837,0.198450655337392,NA,NA,0.176706824569769,TRUE,51,772.4,4,1,"Glutamatergic",NA,"L5 PT",0.202847849190715
"6",6,"20171207_sample_2","20171207_slice_2",2017-12-07,"sample 2","sample",2,"mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",8720847,7844835,2052263,1,24833,"ET","L5 ET_1",0.9,"L5 ET_1 (89.7%), L5 ET_2 (5.4%)","L5 PT ALM Slco2a1 (96.0%)","L5 PT ALM Slco2a1 (96.0%)","L5 PT ALM Slco2a1","L5 PT","L5 PT ALM","L5","PT","ALM","96.0%)","96.0","","L5",1929,1067.33,"Fede",9,"619.7",190.2,490.5,1353.78,"y",NA,6,"Glutamatergic","L5.PT_on",202.614310229959,0.934636798516335,NA,0.434615932026181,-Inf,0.405014622768793,NA,0.367682450560919,0.364791997252945,0.266217863201916,NA,NA,0.15155558017194,TRUE,96,619.7,4,2,"Glutamatergic",NA,"L5 PT",0.13675354978931
"7",7,"20171207_sample_6","20171207_slice_6",2017-12-07,"sample 6","sample",6,"mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",11706332,7897632,1570407,1,20130,"IT","L5 IT_1",0.94,"L5 IT_1 (94.4%), L5 ET_1 (1.7%)","L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)","L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)","L5 IT ALM Cpa6 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","51.0%), L5 IT VISp Batf3","51.0",", L5 IT VISp Batf3","L5",2250,356.56,"Fede",11,"798.6",289.6,550.8,1520.208,"y",NA,7,"Glutamatergic","L5.IT_on",202.589865953327,0.93452403984481,NA,0.452703399677466,-Inf,0.175495947841375,NA,0.211273196466431,0.445890840960804,0.148849326474973,NA,NA,0.109943588117151,TRUE,51,798.6,4,3,"Glutamatergic",NA,"L5 IT",0.134980114455821
"8",8,"20171207_sample_7","20171207_slice_7",2017-12-07,"sample 7","sample",7,"mouse_UGZSW",2017-09-18,80,"F","Sst-IRES-Cre/wt; Ai9/wt","5","5","SST-",10300710,3742528,994934,1,21402,"IT","L5 IT_1",0.49,"L5 IT_1 (49.0%), L5 IT_2 (42.9%), L6 IT_1 (5.1%)","L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)","L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)","L5 IT ALM Gkn1 Pcdh19","L5 IT","L5 IT ALM","L5","IT","ALM","69.0%), L6 IT ALM Tgfb1","69.0",", L6 IT ALM Tgfb1","L5",2032,696.4,"Fede",10,"628.6",207.9,522.3,1441.548,"y",NA,8,"Glutamatergic","L5.IT_on",233.870220899668,1.0788167641362,NA,0.568206362500749,Inf,0.291409993992534,NA,0.416191219727315,0.146669922656743,0.236915900609261,NA,NA,0.0929134942707091,TRUE,69,628.6,4,4,"Glutamatergic",NA,"L5 IT",0.134980114455821
"9",9,"20171219_sample_1","20171219_slice_1",2017-12-19,"sample 1","sample",1,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",227299,310804,40074,3,11141,"IT","L4/5 IT_2",0.99,"L4/5 IT_2 (99.1%)","L5 IT ALM Lypd1 Gpr88 (96.0%)","L5 IT ALM Lypd1 Gpr88 (96.0%)","L5 IT ALM Lypd1 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","96.0%)","96.0","","L5",2356,410.96,"Fede",10,"805.2",282.9,604.2,1667.592,"y",NA,9,"Glutamatergic","L5.IT_on",198.76298835374,0.916871088165672,NA,0.45268331970764,-Inf,0.110285761894563,NA,0.149498651625448,0.160420322711451,0.0501561852261258,NA,NA,0.0354901589868108,TRUE,96,805.2,7,1,"Glutamatergic",NA,"L5 IT",0.134980114455821
"10",10,"20171219_sample_2","20171219_slice_2",2017-12-19,"sample 2","sample",2,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",3392481,1859939,441786,1,18440,"IT","L5 IT_1",0.99,"L5 IT_1 (99.4%)","L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)","L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)","L5 IT ALM Cpa6 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","73.0%), L5 IT ALM Gkn1 Pcdh19","73.0",", L5 IT ALM Gkn1 Pcdh19","L5",2173,626.48,"Fede",10,"598.6",217.1,483.7,1335.012,"y",NA,10,"Glutamatergic","L5.IT_on",257.220081068342,1.18652701682806,NA,0.588213849072049,Inf,0.165221223442924,NA,0.186172754323058,0.179831470873024,0.114923158493408,NA,NA,0.0660327533951037,TRUE,73,598.6,7,2,"Glutamatergic",NA,"L5 IT",0.134980114455821
